        SRCID      OBS_ID                   RA                  DEC       EP_8_CTS             NAME
            J         10A                    D                    D              E              15A
                                           deg                  deg          count                 
         2241  0112570201   1.067698003937E+01   4.086494023590E+01   5.779130E+03          NGC 221
         2241  0402560201   1.067677974806E+01   4.086497515992E+01   4.315350E+03          NGC 221
         2241  0505760201   1.067682426349E+01   4.086482313461E+01   1.129330E+04          NGC 221
         2241  0511380601   1.067711225122E+01   4.086470044113E+01   2.978480E+03          NGC 221
         4943  0672130601   1.068037181932E+01   4.089762848842E+01   3.312360E+02          NGC 221
         4943  0672130101   1.068040487219E+01   4.089752444761E+01   3.967340E+02          NGC 221
         4943  0672130701   1.068055704938E+01   4.089763391511E+01   3.582850E+02          NGC 221
         4943  0672130501   1.068075495505E+01   4.089785344934E+01   1.033360E+02          NGC 221
         4943  0505760201   1.068046454616E+01   4.089788971200E+01   1.374630E+02          NGC 221
         4943  0511380601   1.068020933238E+01   4.089797157379E+01   3.300170E+01          NGC 221
         8117  0672130601   1.068168198287E+01   4.092106578808E+01   2.046720E+02          NGC 221
         8117  0672130101   1.068183745640E+01   4.092089059936E+01   2.531380E+02          NGC 221
         8117  0672130701   1.068203860917E+01   4.092076207394E+01   1.816430E+02          NGC 221
        57899  0672130101   1.069939664633E+01   4.083962227240E+01   1.964770E+02          NGC 221
        57899  0511380201   1.069811818709E+01   4.083957262454E+01   5.619990E+01          NGC 221
        26693  0672130601   1.070999142353E+01   4.081131382036E+01   1.014020E+02          NGC 221
        26693  0672130101   1.070801048858E+01   4.081074845822E+01   7.505500E+01          NGC 221
        48655  0672130101   1.071634278513E+01   4.087735131467E+01   1.417130E+02          NGC 221
         4355  0672130101   1.072320514116E+01   4.088832686785E+01   2.893370E+02          NGC 221
         4355  0672130701   1.072382462811E+01   4.088859320621E+01   2.326380E+02          NGC 221
         4355  0672130501   1.072342564432E+01   4.088820172336E+01   8.321940E+01          NGC 221
         4355  0402560201   1.072335222223E+01   4.088856458482E+01   1.080530E+02          NGC 221
         4355  0505760201   1.072311770668E+01   4.088867821791E+01   9.766210E+01          NGC 221
         4355  0511380201   1.072339208255E+01   4.088806656126E+01   7.181530E+01          NGC 221
        13198  0672130701   1.072392676889E+01   4.087898232474E+01   3.445670E+02          NGC 221
        13198  0672130501   1.072387589124E+01   4.087919296200E+01   1.059810E+02          NGC 221
        13198  0505760201   1.072345372675E+01   4.087916267884E+01   1.562070E+02          NGC 221
         8300  0672130601   1.074076418037E+01   4.085003116022E+01   1.063990E+02          NGC 221
         8300  0672130101   1.074050404210E+01   4.084969205002E+01   1.993600E+02          NGC 221
         8300  0672130701   1.074093565717E+01   4.084969190157E+01   7.624830E+01          NGC 221
         8300  0672130501   1.074064764263E+01   4.084988463032E+01   5.857600E+01          NGC 221
       129889  0601010101   1.172696646563E+01  -2.072739071061E+01   1.149430E+02          NGC 247
       129882  0601010101   1.172771783730E+01  -2.069147338558E+01   1.590730E+02          NGC 247
       129886  0601010101   1.172840367334E+01  -2.068365500582E+01   4.029740E+02          NGC 247
       129784  0601010101   1.174282843924E+01  -2.084522697281E+01   5.075900E+01          NGC 247
       129798  0601010101   1.174731546509E+01  -2.076069941821E+01   1.202070E+03          NGC 247
       129790  0601010101   1.174802173229E+01  -2.070756034843E+01   1.659150E+02          NGC 247
       129760  0601010101   1.176097089548E+01  -2.088397338803E+01   6.862300E+01          NGC 247
       129763  0601010101   1.176183287278E+01  -2.063399526578E+01   6.098790E+01          NGC 247
       129775  0601010101   1.176316797284E+01  -2.061611609658E+01   7.772980E+01          NGC 247
       129778  0601010101   1.176375032547E+01  -2.076270519179E+01   1.388230E+02          NGC 247
       129770  0601010101   1.176428358521E+01  -2.072251899306E+01   1.049730E+02          NGC 247
       129772  0601010101   1.176521292831E+01  -2.067116614532E+01   8.759940E+02          NGC 247
       129826  0601010101   1.176618446594E+01  -2.079548995959E+01   4.001210E+03          NGC 247
       129808  0601010101   1.177449495610E+01  -2.087746175980E+01   2.056320E+02          NGC 247
       129810  0601010101   1.177467673078E+01  -2.069803709398E+01   1.552670E+02          NGC 247
       129815  0601010101   1.178736086494E+01  -2.087100165565E+01   2.658640E+02          NGC 247
       128945  0601010101   1.178824598752E+01  -2.077301029799E+01   1.611860E+02          NGC 247
       128079  0601010101   1.179184343381E+01  -2.078571221746E+01   9.131900E+02          NGC 247
       128072  0601010101   1.179266325567E+01  -2.072824310559E+01   7.944240E+01          NGC 247
       128083  0601010101   1.180260670312E+01  -2.064450636659E+01   6.929320E+01          NGC 247
       128056  0601010101   1.180271313889E+01  -2.070567309337E+01   6.764240E+01          NGC 247
       128058  0601010101   1.180655208686E+01  -2.085368795895E+01   1.137720E+02          NGC 247
       128069  0601010101   1.181329922055E+01  -2.078828031403E+01   1.396290E+02          NGC 247
       128060  0601010101   1.181604860154E+01  -2.091708962586E+01   2.574570E+02          NGC 247
       128120  0601010101   1.181894286205E+01  -2.080404098680E+01   1.339930E+02          NGC 247
       128126  0601010101   1.182421946938E+01  -2.091901845567E+01   1.615940E+02          NGC 247
       128121  0601010101   1.182539524460E+01  -2.071664388412E+01   5.203520E+01          NGC 247
       128123  0601010101   1.182729111756E+01  -2.079468414965E+01   1.946080E+02          NGC 247
       128098  0601010101   1.183456217379E+01  -2.088021255758E+01   1.505460E+02          NGC 247
       128099  0601010101   1.183742537336E+01  -2.082595781641E+01   7.366480E+01          NGC 247
       128094  0601010101   1.183926655103E+01  -2.085075044540E+01   6.820830E+01          NGC 247
       128457  0504100301   1.336933474504E+01  -8.768775137752E+00   1.427870E+02          NGC 291
       128510  0112800201   1.352288085342E+01  -3.768234585597E+01   3.740570E+01          NGC 300
        12798  0305860301   1.355063835358E+01  -3.766406444004E+01   6.879810E+01          NGC 300
        12798  0112800101   1.354984704169E+01  -3.766471730202E+01   9.722510E+01          NGC 300
        12798  0112800201   1.355018552410E+01  -3.766489427112E+01   5.539450E+01          NGC 300
        12798  0656780401   1.355003322715E+01  -3.766454247060E+01   3.307220E+01          NGC 300
        22371  0305860301   1.355129033875E+01  -3.772257876355E+01   5.083590E+01          NGC 300
        22371  0112800101   1.355135033648E+01  -3.772243690453E+01   7.807200E+01          NGC 300
        22371  0112800201   1.355222586836E+01  -3.772262738401E+01   6.104060E+01          NGC 300
